SCHLUESSEL,BERUFINT
19261,Stylist/in (Mode)
19262,Musterdirektrice/-modelleur
19263,Putzdirektrice/-modelleur
19264,Wäschedirektrice/-modelleur
19265,Designer/in (Hochschule) - Modedesign
19266,Modeschöpfer/in
19267,Modedesigningenieur/in
19268,Modedesigner/in (Hochschule)
19269,Lagenbildleger/in
19270,Lagenleger/in (Bekleidungsindustrie)
19271,Maßschneiderhelfer/in
19272,Raumausstatterhelfer/in
19273,Oberbekleidungsnäherhelfer/in
19274,Schneiderhelfer/in
19275,Bekleidungshelfer/in
19276,Bekleidungsstoffleger/in
19277,Helfer/in - Polsterei
19278,Helfer/in - Bekleidung
19279,Helfer/in - Schneiderei
19280,Helfer/in - Wäscheschneiderei
19281,Helfer/in - Textilverarbeitung
19282,Helfer/in - Oberbekleidungsnähen
19283,Helfer/in - Hutstumpenherstellung
19284,Helfer/in - Filz- und Hutstumpenherstellung
19285,Textilverarbeiterhelfer/in
19286,Textilverarbeiterhelfer/in
19287,Bimser/in
19288,Filz- und Hutstumpenmacherhelfer/in
19289,Pikierer/in
19290,Kleiderhefter/in
19291,Anzeichner/in (Bekleidungsindustrie)
19292,Polster- und Dekorationshelfer/in
19293,Stoffaufleger/in
19294,Aufleger/in (Textil)
19295,Hutbügler/in
19296,Hutpresser/in
19297,Hutstumpenmacherhelfer/in
19298,Wäschenäherhelfer/in
19299,Wäscheschneiderhelfer/in
19300,Mützenmacherhelfer/in
19301,Bandmesserschneider/in
19302,Damenschneider/in
19303,Damenhutgarnierer/in
19304,Damenhutaufputzer/in
19305,Damenkleidernäher/in
19306,Damenmaßschneider/in
19307,Damenmantelmacher/in
19308,Fassonschneider/in
19309,Fachkraft - Modeschneiderei
19310,Handnäher/in
19311,Haubenmacher/in
19312,Handgarnierer/in
19313,Hausschneider/in
19314,Handlystrierer/in
19315,Jackenschneider/in
19316,Kappenmacher/in
19317,Mantelnäher/in
19318,Maßschneider/in
19319,Maschinenlystrierer/in
19320,Maßänderungsschneider/in
19321,Mantelhersteller/in (Textil)
19322,Maschinennäher/in (Textilnäher/in)
19323,Maschinenzuschneider/in (Bekleidung)
19324,Maschinenknopflochnäher/in (Textilnäher/in)
19325,Naßformer/in (Hut-
19326,Paletotschneider/in
19327,Paramentenschneider/in
19328,Raglanschneider/in
19329,Samtschneider/in
19330,Sakkoschneider/in
19331,Talarschneider/in
19332,Taschennäher/in (Textil
19333,Abstecker/in (Bekleidung)
19334,Absteckdirektrice/-modelleur
19335,Oberhemdennäher/in
19336,Oberbekleidungsnäher/in
19337,Schneider/in
19338,Schürzennäher/in
19339,Schnittzeichner/in
19340,Schweißledereinnäher/in
19341,Schneidautomatenbediener/in (Textil)
19342,Schnittaufzeichner/in (Bekleidungsindustrie)
19343,Bekleidungsnäher/in
19344,Bekleidungsfertiger/in
19345,Bekleidungsschneider/in
19346,Bekleidungsteilenäher/in
19347,Berufskleidungsschneider/in
19348,Bekleidungsschnittzeichner/in
19349,Bekleidungstechnische/r Assistent/in
19350,Bekleidungstechnische/r Ingenieurassistent/in
19351,Dekorationsnäher/in
19352,Fertigbekleidungsschneider/in
19353,Hemdenmacher/in
19354,Herrenschneider/in
19355,Herrenwäschenäher/in
19356,Herrenmaßschneider/in
19357,Herrenkleidermacher/in
19358,Lederbekleidungsnäher/in
19359,Pelzgarnierer/in
19360,Textilnäher/in
19361,Textilverarbeiter/in
19362,Westenmacher/in
19363,Weißwarennäher/in
19364,Westenschneider/in
19365,Phantasieschneider/in
19366,Theatermodist/in
19367,Theaterschneider/in
19368,Theatergewandmacher/in
19369,Bijounierer/in
19370,Dirndlschneider/in
19371,Filzhutformer/in
19372,Filzpantoffelmacher/in
19373,Filzschneider/in (Hutherstellung)
19374,Hilfsschneider/in
19375,Kinderbekleidungsschneider/in
19376,Miedernäher/in
19377,Miedererzeuger/in
19378,Blusenschneider/in
19379,Flickschneider/in
19380,Kleiderschneider/in
19381,Kleiderzuschneider/in
19382,Kleinstückschneider/in
19383,Kleiderausbesserer/-ausbesserin
19384,Ulsterschneider/in
19385,Umnäher/in
19386,Industrienäher/in
19387,Industrieschneider/in
19388,Industrie-Wäschenäher/in
19389,Knopf-
19390,Unterrocknäher/in
19391,Uniformschneider/in
19392,Uniformmützenmacher/in
19393,Änderungsnäher/in
19394,Änderungsschneider/in
19395,Bortennäher/in
19396,Former/in (Hut-
19397,Hosennäher/in
19398,Hosenanzugschneider/in
19399,Hosenschneider/in (Textil)
19400,Konfektionsnäher/in
19401,Korsettschneider/in
19402,Konfektionär/in - Textilnähen
19403,Konfektionär/in - Bekleidungstechnik
19404,Modist/in
19405,Modenäher/in
19406,Modeschneider/in
19407,Modellschneider/in
19408,Modellassistent/in (Bekleidung
19409,Rockschneider/in
19410,Spitzennäher/in
19411,Sportbekleidungsschneider/in
19412,Bridierer/in
19413,Frackschneider/in
19414,Großstückschneider/in
19415,Kragenschneider/in
19416,Ornatschneider/in
19417,Trikotnäher/in
19418,Trachtennäher/in
19419,Trikotagennäher/in
19420,Trachtenschneider/in
19421,Ärmelnäher/in
19422,Ärmeleinnäher/in
19423,Ärmelschneider/in
19424,Assistent/in - technische Leitung
19425,Assistent/in - Bekleidungstechnik
19426,Assistent/in - Überwachung der Auslandsfertigung (
19427,Ösmaschinenarbeiter/in (Textilnäher/in)
19428,Strumpfnäher/in
19429,Strohhutformer/in
19430,Stückschneider/in
19431,Stoffknopfmacher/in
19432,Stepper/in (Textilien)
19433,Stoffhandschuhzuschneider/in
19434,Aufnäher/in
19435,Ausnäher/in
19436,Ausstatter/in (Damenhutherstellung)
19437,Futterzuschneider/in
19438,Hutmacher/in
19439,Hutformer/in
19440,Hutstepper/in
19441,Huttrimmer/in
19442,Huteinfasser/in
19443,Hut- und Mützenmacher/in
19444,Hutnäher/in (Damenhutherstellung)
19445,Musterschneider/in
19446,Musterschneider/in (Bekleidungsindustrie)
19447,Putzmacher/in
19448,Puppenkleidernäher/in
19449,Zuschneider/in (Bekleidung)
19450,Overlocknäher/in
19451,Lystrierer/in (Hut-
19452,Zylinderhutmacher/in
19453,Mäntelschneider/in
19454,Näher/in - Wäscheschneiderhandwerk
19455,Säumer/in (Textil)
19456,Wäschestepper/in
19457,Wäscheschneider/in
19458,Wäschewarenerzeuger/in
19459,Mützennäher/in
19460,Mützenmacher/in
19461,Mützenstepper/in
19462,Rüschennäher/in
19463,Schnittmacher/in (Bekleidungsgewerbe)
19464,Schnittmacher/in (Textiltechniker/in)
19465,Bekleidungstechniker/in
19466,Bekleidungsfertigungstechniker/in
19467,Bekleidungskonstruktionstechniker/in
19468,Bekleidungsgestalter/in - Modisterei
19469,Bekleidungsgestalter/in - Damenbekleidung
19470,Bekleidungsgestalter/in - Herrenbekleidung
19471,Bekleidungstechniker/in - Produktmanagement
19472,Gestaltungsdirektrice/-modelleur
19473,Reisetechniker/in - Bekleidung
19474,Techniker/in - Produktmanagement
19475,Techniker/in - Bekleidungstechnik
19476,Techniker/in - Bekleidungsfertigung
19477,Techniker/in - Bekleidungstechnologie
19478,Techniker/in - Bekleidungstechnik (Fertigung)
19479,Techniker/in - Bekleidungstechnik (Produktmanageme
19480,Techniker/in - Bekleidungstechnik (Bekleidungsfert
19481,Technische/r Direktrice/Modelleur (Bekleidungsfert
19482,Produktionsdirektrice/-modelleur
19483,Stoffdirektrice/-modelleur (Damenhutherstellung)
19484,Bekleidungsingenieur/in
19485,Ingenieur/in - Bekleidungstechnik
19486,Fachkraft - Segelherstellung
19487,Gardinennäher/in
19488,Lampenschirmnäher/in
19489,Markisennäher/in
19490,Sattler/in - Segelmacher/in
19491,Schirmmacher/in
19492,Schwergewebekonfektionär/in
19493,Schweißer/in - Technische Konfektion
19494,Regenschirmmacher/in
19495,Segelmacher/in
