Personal-Nr,ABCStatus,Status,Beruf,Einstellungsberuf,Berufschl,Qualifiaktion,Profil
62180,T,2,10007,Produktionshelfer/in - Metall,1,714,
62182,T,1,,,1,705,
62182,T,1,,,1,182,
62182,T,1,,,1,113,
62182,T,1,,,1,183,
62182,T,1,,,1,168,
61524,I,1,,,1,731,
62485,B,1,,,1,184,
62485,B,1,,,1,156,
61651,C,2,10007,Produktionshelfer/in - Metall,1,113,
62227,I,1,,,1,753,
61362,T,1,,,1,701,
61667,I,1,,,1,731,
61370,T,1,,,1,711,
61370,T,1,,,1,132,
61370,T,1,,,1,113,
61370,T,1,,,1,133,
61370,T,1,,,1,134,
61370,T,1,,,1,177,
62243,B,1,,,1,172,
62243,B,1,,,1,166,
62243,B,1,,,1,177,
62500,T,1,,,1,715,
61413,I,1,,,1,720,
60924,I,1,,,1,720,
60924,I,1,,,1,108,
60924,I,1,,,1,118,
62037,A,2,158,Fachhelfer/in - Industrie,1,160,
62037,A,2,158,Fachhelfer/in - Industrie,1,123,
62037,A,2,158,Fachhelfer/in - Industrie,1,155,
62037,A,2,158,Fachhelfer/in - Industrie,1,156,
62037,A,2,158,Fachhelfer/in - Industrie,1,157,
62037,A,2,158,Fachhelfer/in - Industrie,1,177,
62037,A,2,158,Fachhelfer/in - Industrie,1,118,
61541,I,1,,,1,740,
62298,T,1,,,1,705,
62298,T,1,,,1,707,
62298,T,1,,,1,708,
61505,I,1,,,1,731,
62036,I,1,,,1,751,
62461,T,1,,,1,706,
61523,I,1,,,1,703,
61523,I,1,,,1,113,
61523,I,1,,,1,713,
61523,I,1,,,1,118,
61469,I,1,,,1,720,
61909,I,1,,,1,760,
61909,I,1,,,1,752,
61609,T,1,,,1,731,
61737,I,1,,,1,731,
61880,A,1,,,1,800,
61880,A,1,,,1,169,
62156,T,1,,,1,731,
62229,A,1,,,1,155,
62229,A,1,,,1,118,
62229,A,1,,,1,168,
62154,A,2,158,Fachhelfer/in - Industrie,1,178,
62154,A,2,158,Fachhelfer/in - Industrie,1,169,
62016,I,1,,,1,705,
62016,I,1,,,1,706,
62328,A,1,,,1,113,
62328,A,1,,,1,175,
62328,A,1,,,1,156,
61963,A,2,782,Qualitätsfachmann/-frau,1,132,
61963,A,2,782,Qualitätsfachmann/-frau,1,123,
61963,A,2,782,Qualitätsfachmann/-frau,1,133,
61963,A,2,782,Qualitätsfachmann/-frau,1,134,
61963,A,2,782,Qualitätsfachmann/-frau,1,105,
61963,A,2,782,Qualitätsfachmann/-frau,1,175,
61864,B,1,,,1,800,
61864,B,1,,,1,169,
61704,T,1,,,1,713,
61995,I,1,,,1,731,
62372,I,1,10009,Produktionshelfer/in - Elektro,1,761,
61905,A,1,,,1,144,
61905,A,1,,,1,145,
62325,T,1,,,1,182,
62325,T,1,,,1,183,
62325,T,1,,,1,184,
62325,T,1,,,1,705,
62325,T,1,,,1,155,
62260,I,1,,,1,762,
62138,B,1,,,1,171,
62072,I,1,,,1,704,
