SCHLUESSEL,BERUFINT,BERUFVERZ,RO,BESCHARTA,BESCHARTB,ENTSENDEG,BLTAETIGKEIT,TRFIELD,REPL_ID,REPL_DATABASE,IENTGELTGRUPPE,SSICHTBARINMAND,CSELEKTIONSKENNZEICHEN,IWEBPORTAL,SWEBPORTALTEXT,AUSGTAETIGKEITSSCHLUESSEL,AKTIV,WARNUNGMINDESTLOHN,HOCHSCHULBERUF,VORRAUSSETZUNG,LFDNRAUSGTAETIGKEIT,SWEBPORTALTEXT2,CFREMDSCHLUESSEL,AUTO_UEBERNAHME_PERSONAL,PROSOFT_RECRUITING_SOURCE_ID,DKZ_ID
653,"Techniker/in - Maschinentechnik (Mechatronik)   
",Techniker/in - Maschinentechnik (Mechatronik),N,621,,,,J,30832,1604123803,,,,,,26113,1,,,,6699,,,1,,107895
10001,Produktionshelfer/in - Steinbearbeitung,Produktionshelfer/in - Steinbearbeitung,N,531,,,,,30833,1604123803,,,,,,21201,1,,,,1421,,,1,,106156
10002,Produktionshelfer/in - Glas,Produktionshelfer/in - Glas,N,531,,,,,30834,1604123803,,,,,,21311,1,,,,1715,,,1,,103984
10003,Produktionshelfer/in - Keramik,Produktionshelfer/in - Keramik,N,531,,,,,30835,1604123803,,,,,,21411,1,,,,1928,,,1,,103495
10004,Produktionshelfer/in - Porzellanindustrie,Produktionshelfer/in - Porzellanindustrie,N,531,,,,,30836,1604123803,,,,,,21411,1,,,,1929,,,1,,113295
10005,Produktionshelfer/in - Kunststoff und Kautschuk,Produktionshelfer/in - Kunststoff und Kautschuk,N,531,,,,,30837,1604123803,,,,,,22101,1,,,,2021,,,1,,115163
10006,Produktionshelfer/in - Gießerei,Produktionshelfer/in - Gießerei,N,531,,,,,30838,1604123803,,,,,,24101,1,,,,3814,,,1,,104200
10007,Produktionshelfer/in - Metall,Produktionshelfer/in - Metall,N,531,,,,,30839,1604123803,,,,,,24201,1,,,,4270,,,1,,29476
10008,Elektroproduktionshelfer/in,Elektroproduktionshelfer/in,N,531,,,,,30840,1604123803,,,,,,26301,1,,,,7208,,,1,,116167
10009,Produktionshelfer/in - Elektro,Produktionshelfer/in - Elektro,N,531,,,,,30841,1604123803,,,,,,26301,1,,,,7239,,,1,,115116
10010,Produktionshelfer/in - Tabakwarenherstellung,Produktionshelfer/in - Tabakwarenherstellung,N,531,,,,,30842,1604123803,,,,,,29201,1,,,,10156,,,1,,107258
10011,Produktionshelfer/in - Chemie,Produktionshelfer/in - Chemie,N,531,,,,,30843,1604123803,,,,,,41311,1,,,,12596,,,1,,116510
10012,Produktionshelfer/in - Pharmazie,Produktionshelfer/in - Pharmazie,N,531,,,,,30844,1604123803,,,,,,41311,1,,,,12597,,,1,,1155
164,Kunststofftechniker/in,Kunststofftechniker/in,N,627,,,,,30845,1604123803,,,,,,22103,1,,,,2117,,,1,,111288
10013,Produktionshelfer/in - Verpackung,Produktionshelfer/in - Verpackung,N,531,,,,,30846,1604123803,,,,,,51311,1,,,,13853,,,1,,115783
165,Schweißer/in - Anlagen- und Apparatebau,Schweißer/in - Anlagen- und Apparatebau,N,241,,,,,30847,1604123803,,,,,,24422,1,,,,5291,,,1,,2050
166,CNC-Fachkraft,CNC-Fachkraft,N,226,,,,,30848,1604123803,,,,,,24233,1,,,,4805,,,1,,104863
167,Konstrukteur/in,Konstrukteur/in,N,621,,,,,30849,1604123803,,,,,,27223,1,,,,8108,,,1,,5353
169,Maschinenbautechniker/in,Maschinenbautechniker/in,N,621,,,,,30850,1604123803,,,,,,25103,1,,,,5831,,,1,,111544
168,Verpackungsmittelmechaniker/in,Verpackungsmittelmechaniker/in,N,162,,,,,30851,1604123803,,,,,,23122,1,,,,3041,,,1,,1270
171,Ingenieur/in - Mechatronik,Ingenieur/in - Mechatronik,N,601,,,,,30852,1604123803,,,,,,26114,1,,,,6701,,,1,,58732
173,Landmaschinenmechaniker/in,Landmaschinenmechaniker/in,N,282,,,,,30853,1604123803,,,,,,25222,1,,,,6472,,,1,,2388
174,Ingenieur/in - Feinwerktechnik,Ingenieur/in - Feinwerktechnik,N,601,,,,,30854,1604123803,,,,,,24514,1,,,,5487,,,1,,58718
176,Fachkraft - Lagerwirtschaft,Fachkraft - Lagerwirtschaft,N,741,,,,,30855,1604123803,,,,,,51312,1,,,,13906,,,1,,7399
187,Fachkraft - Qualitätssicherung/management,Fachkraft - Qualitätssicherung/-management,N,628,,,,,30856,1604123803,,,,,,27313,1,,,,8500,,,1,,13958
177,Chemikant/in,Chemikant/in,N,141,,,,,30857,1604123803,,,,,,41312,1,,,,12613,,,1,,1141
178,Elektroniker - Automatisierungstechnik,Elektroniker/in - Automatisierungstechnik (Industr,N,311,,,,,30858,1604123803,,,,,,26122,1,,,,6712,,,1,,15631
179,Technische/r Einkäufer/in,Technische/r Einkäufer/in,N,681,,,,,30859,1604123803,,,,,,61113,1,,,,15576,,,1,,6602
142,Teilezurichter,Teilezurichter/in,N,285,,,,,30860,1604123803,,,,,,24202,1,,,,4297,,,1,,2493
107,Industriemechaniker/in,Industriemechaniker/in,N,274,,,,,30861,1604123803,,,,,,25102,1,,,,5764,,,1,,29056
